sender,receiver,edge_type
jdungan,JamazingTeachin,reply
weibertscience,MrsWambold,reply
MrsWambold,weibertscience,reply
JYPhysics,MrLindsey_NGSS,reply
sbottasullivan,philiplbell,reply
wiscileaders,KRScienceLady,reply
richbacolor,PeggyAshbrook,reply
Spark_Viju,ngss_official,reply
Pj49188649,Pj49188649,reply
shioU27,shioU27,reply
prabhuuu07,ngss_official,reply
jualan_poppers,LakiCoIi,reply
LGates_science,ngssSfocus,reply
lawettan2019,_Henz14,reply
OfficialNGSS,OfficialNGSS,reply
KlutheScience,KlutheScience,reply
Melynavarro21,NaseemRdz,reply
K12Alliance,K12Alliance,reply
K12Alliance,K12Alliance,reply
LeenaBMc,SRVUSD_NGSS,reply
paul_ruscher,paul_ruscher,reply
TheWorl02147786,MrAndyNgo,reply
aloomaeducatio1,aloomaeducatio1,reply
mswaldman1,mswaldman1,reply
barefeets_educ,NGSS_tweeps,reply
voiceof90z,codycr6,reply
mizunashi_CyG,Rikaiiiiiiii,reply
ACHOSinfo,ainissaramirez,reply
mrfiskteach1,AnjanaIyer,reply
WesleyMorganSHS,WesleyMorganSHS,reply
asmatikkka,layesmina,reply
digitaltidepool,AnjanaIyer,reply
ashley_green2,AnjanaIyer,reply
paymerphysics,newtonsenigma,reply
voiceof90z,npcArts,reply
voiceof90z,npcArts,reply
npcArts,voiceof90z,reply
voiceof90z,npcArts,reply
npcArts,voiceof90z,reply
voiceof90z,Happy_Skeet,reply
voiceof90z,CallicuttJesse,reply
DeathVictorious,CallicuttJesse,reply
STEMcoding,MsMagaryPhysics,reply
desert_yogi,mdhero,reply
KathWertheim,xspendable1,reply
jameshunt4truth,Anonymo64439103,reply
xspendable1,KathWertheim,reply
cascience,cascience,reply
LGates_science,vbangjensen,reply
KathWertheim,xspendable1,reply
KathWertheim,xspendable1,reply
ACHOSinfo,CAHoisy,reply
innothebest0325,innothebest0325,reply
bea_ruthie,Eden_Eats,reply
nlrhoades,Mrs_Brabant,reply
ClaireBurkum,jrosenberg6432,reply
MorgLaMignonne,_air_in,reply
BMSscienceteach,RebeccaTaylor21,reply
RebeccaTaylor21,BMSscienceteach,reply
Mrs_Brabant,BMSscienceteach,reply
